"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"101
Intro to International Studies","001","","117","3.329","28.2","33.3","25.6","6.8","4.3","0.9","0.9",".",".",".",".",".",".",".",".","."
"310","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","003","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310","011","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","015","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","020","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","60","",".",".",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".","."
"320
Contemporary Issues-Intl St","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"373
Globalizatn, Poverty&Develpmnt","001","","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"401
Topics in Global Security","001","","23","3.630","60.9","21.7","8.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"403
Culture in Age of Globalizatn","001","","12","2.864","41.7",".","16.7","8.3","8.3","8.3","8.3",".",".",".",".",".","8.3",".",".","."
"535
Women's Global Health","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Politics&Policy in Global Econ","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
