"","990
082","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
083","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
084","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","75","",".",".",".",".",".",".",".","49.3","",".",".","",".","50.7",".",".",".","."
"BIOCHEM
200","Dept. Total","1290","3.294","43.6","12.3","18.0","6.4","9.9","1.6","0.5","4.1","",".",".","",".","2.9","0.2",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","52","3.279","59.6","9.6","7.7","9.6","9.6","1.9",".",".","",".",".","",".",".","1.9",".",".","."
"Junior","","272","3.111","36.4","12.1","20.6","9.6","16.9","3.7",".",".","",".",".","",".",".",".",".","0.4","0.4"
"Senior","","703","3.335","43.7","15.9","20.9","6.7","10.2","1.3","0.7","0.3","",".",".","",".",".",".",".",".","0.3"
"Undergraduates","","1029","3.274","42.7","14.6","20.1","7.6","12.0","1.9","0.5","0.2","",".",".","",".",".","0.1",".","0.1","0.3"
"Special","","25","3.188","32.0","8.0","36.0","8.0","12.0",".",".",".","",".",".","",".",".",".",".","4.0","."
"Graduate","","227","3.537","48.0","3.1","7.0","1.3","0.9","0.4","0.4","22.5","",".",".","",".","15.4","0.9",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","",".","",".","33.3",".",".",".","."
"Prof Yr 4","","6","4.000","66.7",".",".",".",".",".",".",".","",".",".","",".","33.3",".",".",".","."
"Professionals","","9","4.000","66.7",".",".",".",".",".",".",".","",".",".","",".","33.3",".",".",".","."
"","Dept. Total","1290","3.294","43.6","12.3","18.0","6.4","9.9","1.6","0.5","4.1","",".",".","",".","2.9","0.2",".","0.2","0.2"
