"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","100
047","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","100
048","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
050","10","3.313","20.0","10.0","50.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Intro to College Composition","Course Total","934","3.893","85.9","9.6","2.8","0.3","0.9",".","0.2",".",".",".",".",".","0.3",".",".","."
"Intro-Theatre & Dramatic Lit","120
001","148","3.528","45.3","33.1","12.2","5.4","1.4",".","1.4",".",".",".",".",".","1.4",".",".","."
"Comm B Topics in English Lit","140
001","156","3.455","37.8","32.7","21.2","4.5","2.6",".","1.3",".",".",".",".",".",".",".",".","."
"","141
001","21","3.810","95.2",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","141
002","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science Fiction and Fantasy","Course Total","39","3.731","74.4","12.8","10.3",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Lit & Culture of Asian America","150
001","76","3.382","34.2","35.5","14.5","9.2","3.9","2.6",".",".",".",".",".",".",".",".",".","."
"Literature and the Environment","153
001","187","3.687","62.6","21.9","9.6","4.3","1.1",".","0.5",".",".",".",".",".",".",".",".","."
"","155
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","32","3.750","68.8","25.0","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"Myth and Literature","Course Total","51","3.843","80.4","15.7","2.0",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"","001
162","147","3.830","82.3","8.2","3.4","2.0","0.7","0.7","0.7","2.0",".",".",".",".",".",".",".","."
"","162
002","29","3.879","82.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","Course Total","176","3.838","82.4","8.5","4.0","1.7","0.6","0.6","0.6","1.7",".",".",".",".",".",".",".","."
"Modern Literature","168
001","30","3.567","46.7","26.7","23.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Literatures of Native America","172
001","14","3.500","28.6","57.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Multicultural Lit","173
001","25","3.800","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Popular Culture","177
001","214","3.432","36.0","31.8","22.9","5.1","3.3",".","0.9",".",".",".",".",".",".",".",".","."
"Intro to Literature for Honors","182
001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Studio","200
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","18","3.806","88.9","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","201
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","18","3.472","72.2","16.7",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","201
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
201","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","18","3.941","83.3","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","201
009","18","3.833","83.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","18","3.833","88.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","201
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","189","3.891","91.5","4.2","1.1","0.5","0.5","0.5","1.1",".",".",".",".",".","0.5",".",".","."
"Writing, Rhetoric, & Literacy","204
001","55","3.774","70.9","18.2","3.6",".","1.8","1.8",".",".",".",".",".",".","1.8","1.8",".","."
"","207
001","16","3.688","75.0",".","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","207
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
003","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
004","15","3.367","40.0","33.3","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","207
005","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
006","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","Page 221 of 423",""
