"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
002","87","3.372","34.5","31.0","18.4","8.0","4.6","2.3",".",".",".",".",".",".",".",".","1.1","."
"","003
101","75","2.720","12.0","29.3","25.3","5.3","9.3","13.3","5.3",".",".",".",".",".",".",".",".","."
"","101
006","87","3.131","21.8","27.6","25.3","11.5","4.6","4.6","1.1","3.4",".",".",".",".",".",".",".","."
"","101
008","78","3.378","21.8","41.0","28.2","9.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","75","3.067","4.0","41.3","33.3","14.7","2.7","4.0",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","402","3.142","19.4","33.8","25.9","9.7","4.2","4.7","1.2","0.7",".",".",".",".",".",".","0.2","."
"Spec Topics:Philos-Freshmen","104
001","14","3.423","42.9","35.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".","7.1","."
"Reason in Communication","210
001","64","3.119","21.9","26.6","17.2","18.8","14.1",".",".","1.6",".",".",".",".",".",".",".","."
"","211
001","77","3.203","32.5","19.5","24.7","6.5","9.1","1.3","2.6","1.3",".",".",".",".","2.6",".",".","."
"","211
002","65","3.231","13.8","44.6","29.2","7.7","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","142","3.216","23.9","31.0","26.8","7.0","5.6","1.4","2.1","0.7",".",".",".",".","1.4",".",".","."
"","001
241","79","3.461","38.0","34.2","16.5","2.5","3.8","2.5",".","1.3",".",".",".",".","1.3",".",".","."
"","241
002","82","3.030","15.9","18.3","35.4","17.1","13.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","161","3.239","26.7","26.1","26.1","9.9","8.7","1.2",".","0.6",".",".",".",".","0.6",".",".","."
"Ethics in Business","243
001","60","3.700","60.0","28.3","6.7","1.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","304
002","18","3.528","33.3","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","22","3.917","72.7","4.5","4.5",".",".",".",".","13.6",".",".",".",".",".","4.5",".","."
"","304
004","20","2.975","35.0","10.0","20.0","15.0","5.0","15.0",".",".",".",".",".",".",".",".",".","."
"Topic in Philosophy-Humanities","Course Total","60","3.455","48.3","18.3","13.3","6.7","1.7","5.0",".","5.0",".",".",".",".",".","1.7",".","."
"","001
341","80","3.535","42.5","23.8","15.0","5.0","3.8",".",".","1.3",".",".",".",".",".",".","8.8","."
"","341
003","169","3.604","30.8","58.6","10.1",".",".",".",".",".",".",".",".",".",".","0.6",".","."
"","341
091","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","19","3.447","31.6","36.8","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","341
094","17","3.647","52.9","23.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
096","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","341","3.620","41.9","40.5","12.6","1.2","1.2",".",".","0.3",".",".",".",".",".","0.3","2.1","."
"History-Modern Philosophy","432
001","43","3.513","46.5","18.6","11.6","9.3","4.7",".",".",".",".",".",".",".","7.0",".","2.3","."
"Existentialism","440
002","25","3.280","24.0","28.0","32.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","28","3.093","14.3","28.6","25.0","17.9","10.7",".",".","3.6",".",".",".",".",".",".",".","."
"","454
001","17","3.469","29.4","29.4","35.3",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","454
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","21","3.575","42.9","23.8","28.6",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","20","3.361","30.0","25.0","20.0","10.0","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"Methods of Logic","001
512","19","3.079","21.1","31.6","26.3","5.3","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"Public Health Ethics","515
001","15","3.467","20.0","60.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","18","3.139","27.8","22.2","11.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","24","3.208","25.0","33.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Ethical Issues in Health Care","558
001","15","3.300","26.7","20.0","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Metaphysics","560
001","17","3.147","29.4","23.5","29.4","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Directed Study","599
045","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","Page 292 of 423",""
