"","990
035","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
036","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
044","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","47","",".",".",".",".",".",".",".","74.5","",".",".","",".","25.5",".",".",".","."
"GEOSCI
420","Dept. Total","1252","3.379","41.3","19.6","16.1","7.2","5.3","1.9","1.3","5.9","",".",".","",".","1.0","0.2","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","83","3.282","39.8","21.7","19.3","7.2","8.4","2.4","1.2",".","",".",".","",".",".",".",".",".","."
"Sophomore","","295","3.428","46.1","23.4","15.6","5.1","6.4","1.0","1.7","0.3","",".",".","",".",".","0.3",".",".","."
"Junior","","268","3.378","43.3","17.9","19.4","10.4","4.9","1.9","1.9","0.4","",".",".","",".",".",".",".",".","."
"Senior","","458","3.302","38.6","22.5","19.0","8.7","5.9","3.1","1.1","0.4","",".",".","",".","0.2","0.2","0.2",".","."
"Undergraduates","","1104","3.357","41.8","21.6","18.2","8.1","6.0","2.2","1.4","0.4","",".",".","",".","0.1","0.2","0.1",".","."
"Special","","45","3.948","20.0","2.2",".",".",".",".",".","75.6","",".",".","",".",".",".",".","2.2","."
"Graduate","","103","3.851","44.7","6.8","1.0","1.0",".",".",".","35.0","",".",".","",".","11.7",".",".",".","."
"","Dept. Total","1252","3.379","41.3","19.6","16.1","7.2","5.3","1.9","1.3","5.9","",".",".","",".","1.0","0.2","0.1","0.1","."
