"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS
754","Dept. Total","3286","3.084","25.4","20.9","20.7","15.1","10.7","2.1","0.6","2.9","",".","0.1","",".","1.2","0.2","0.1",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","114","3.061","29.8","26.3","11.4","12.3","16.7","2.6","0.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","624","3.047","25.6","23.2","18.6","15.7","12.2","3.0","1.4",".","",".",".","",".",".","0.2",".",".","."
"Junior","","1169","3.036","23.1","21.7","21.5","18.0","12.4","2.4","0.6","0.1","",".","0.1","",".",".","0.1",".",".","."
"Senior","","1071","3.105","26.9","19.6","24.9","15.4","10.4","1.7","0.4",".","",".","0.1","",".",".","0.2","0.4",".","0.1"
"Undergraduates","","2978","3.062","25.3","21.5","21.7","16.4","11.8","2.3","0.7","0.0","",".","0.1","",".",".","0.1","0.1",".","0.0"
"Special","","30","3.412","33.3","23.3","13.3","6.7","3.3",".",".","20.0","",".",".","",".",".",".",".",".","."
"Graduate","","278","3.603","26.6","14.7","10.1","1.8","0.4",".",".","32.0","",".",".","",".","14.0","0.4",".",".","."
"","Dept. Total","3286","3.084","25.4","20.9","20.7","15.1","10.7","2.1","0.6","2.9","",".","0.1","",".","1.2","0.2","0.1",".","0.0"
