"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","12","3.773","75.0","8.3",".",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","101
002","","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","","15","3.267","40.0","20.0","26.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","46","3.611","60.9","17.4","13.0","2.2","2.2",".","2.2","2.2",".",".",".",".",".",".",".","."
"","102
001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","21","3.690","71.4","14.3","9.5",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","102
007","","13","3.538","46.2","15.4","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","52","3.673","67.3","9.6","19.2","1.9",".","1.9",".",".",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","11","3.727","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","","22","3.841","77.3","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","33","3.803","75.8","15.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","204
001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","45","3.911","86.7","8.9","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
002","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
003","","19","3.711","57.9","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","35","3.686","51.4","40.0","5.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","258
001","","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
002","","23","3.652","60.9","21.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","44","3.670","54.5","31.8","9.1","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kafka and the Kafkaesque","275
001","","13","3.417","30.8","38.5","7.7","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","337
001","","17","3.441","52.9","23.5","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","","8","3.500","62.5","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","22","3.937","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","43","3.966","95.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"German for Grad Reading II","392
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","401
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","402
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","402
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","5","***","","","","","","","","","","","","","","","",""
"3rd Sem German for Grad Stdts","403
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","404
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
