"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","3334","3.263","37.6","21.4","19.0","7.4","8.5","2.4","1.4","1.6","",".",".","",".","0.4","0.1","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","30","3.036","26.7","13.3","16.7","20.0","23.3",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","469","3.069","30.3","17.3","22.8","9.8","15.1","3.0","1.7",".","",".",".","",".",".",".",".",".","."
"Junior","","1125","3.063","31.3","16.4","24.4","10.1","11.8","3.4","2.2","0.2","",".",".","",".",".","0.1",".",".","0.2"
"Senior","","898","3.255","37.9","22.3","20.0","8.0","6.8","3.0","1.4","0.4","",".",".","",".",".","0.1",".",".","."
"Undergraduates","","2522","3.131","33.4","18.6","22.4","9.4","10.8","3.1","1.8","0.2","",".",".","",".",".","0.1",".",".","0.1"
"Special","","279","3.731","54.5","38.7","4.3",".","1.1",".","0.4","0.7","",".",".","",".",".",".","0.4",".","."
"Graduate","","533","3.658","49.0","25.5","10.7","1.9","1.3",".","0.2","8.3","",".",".","",".","2.6","0.2","0.4",".","."
"","Dept. Total","3334","3.263","37.6","21.4","19.0","7.4","8.5","2.4","1.4","1.6","",".",".","",".","0.4","0.1","0.1",".","0.1"
