"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro African Lit","201
001","77","3.474","44.2","29.9","15.6","3.9","2.6",".","2.6","1.3",".",".",".",".",".",".",".","."
"","210
001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","31","3.500","64.5","19.4","3.2","3.2","3.2",".","6.5",".",".",".",".",".",".",".",".","."
"","210
003","29","3.741","72.4","17.2","3.4",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"","210
004","33","3.894","87.9","9.1",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","210
005","29","3.707","72.4","13.8","3.4","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","141","3.730","74.5","15.6","2.8","1.4","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233
001","90","3.101","34.4","15.6","11.1","17.8","16.7","3.3",".",".",".",".",".",".",".",".",".","1.1"
"Africa: Introductory Survey","277
001","30","3.776","73.3","10.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","3.3","."
"African Lit in Translation","300
001","15","3.300","40.0","33.3","13.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","322
001","10","3.350","70.0","10.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","322
002","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","322
003","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","32","3.625","68.8","18.8","3.1",".","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324
001","14","3.321","42.9","21.4","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"","330
001","7","3.143","42.9","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","330
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Arabic","Course Total","8","3.250","50.0","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Second Semester Swahili","332
001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Second Semester Yoruba","372
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang of West Africa","394
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","405
001","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","405
002","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"African Cultural Studies","Course Total","22","3.833","77.3","13.6",".",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Topics in African Languages","407
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"African/Francophone Film","440
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv. African Cultural Studies","605
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Literature - Advanced","606
002","16","3.654","43.8","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".","18.8","."
"Multilanguage Seminar","671
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CALx Working Group","804
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"","999
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","Course Total","3","***","","","","","","","","","","","","","","","",""
