"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","269","3.037","21.2","21.9","21.6","18.2","14.5","1.9","0.4","0.4",".",".",".",".",".",".",".","."
"","103
002","142","3.106","23.2","26.1","19.0","17.6","12.0","1.4","0.7",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","411","3.061","21.9","23.4","20.7","18.0","13.6","1.7","0.5","0.2",".",".",".",".",".",".",".","."
"","104
001","326","3.094","23.9","19.9","23.6","19.0","12.0","1.5",".",".",".",".",".",".",".",".",".","."
"","104
002","291","3.088","21.6","22.0","21.6","23.0","11.0","0.7",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","617","3.091","22.9","20.9","22.7","20.9","11.5","1.1",".",".",".",".",".",".",".",".",".","."
"","109
001","112","3.536","42.0","34.8","16.1","2.7","0.9","0.9","0.9","1.8",".",".",".",".",".",".",".","."
"","109
002","103","3.364","34.0","35.9","8.7","11.7","9.7",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","215","3.453","38.1","35.3","12.6","7.0","5.1","0.5","0.5","0.9",".",".",".",".",".",".",".","."
"Energy","115
001","50","3.051","28.0","20.0","14.0","22.0","6.0","8.0",".","2.0",".",".",".",".",".",".",".","."
"General Physics","201
001","271","2.918","23.2","15.5","17.7","18.5","19.6","4.1","0.7",".",".",".",".",".","0.7",".",".","."
"","202
001","106","2.986","17.0","21.7","23.6","22.6","12.3",".","1.9","0.9",".",".",".",".",".",".",".","."
"","202
002","285","3.135","21.8","24.6","26.0","18.6","8.1",".","1.1",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","391","3.095","20.5","23.8","25.3","19.7","9.2",".","1.3","0.3",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","30","3.333","33.3","23.3","30.0","10.0",".","3.3",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","182","2.896","20.3","18.7","15.9","18.7","22.0","4.4",".",".",".",".",".",".",".",".",".","."
"General Physics","208
001","272","2.838","17.6","8.8","32.4","16.9","19.1","4.8","0.4",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","7","3.143","42.9","28.6",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","001
241","24","2.667","16.7","8.3","8.3","41.7","20.8",".","4.2",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","61","3.090","18.0","37.7","21.3","9.8","4.9","6.6","1.6",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","298
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Physics Today","301
001","34","3.636","70.6","17.6","2.9",".",".",".","5.9","2.9",".",".",".",".",".",".",".","."
"","307
001","21","3.450","52.4","23.8","4.8","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","4.8"
"","307
002","22","3.705","77.3","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","307
003","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","49","3.594","63.3","20.4","6.1","2.0","2.0",".","4.1",".",".",".",".",".",".",".",".","2.0"
"Mechanics","311
001","49","2.896","14.3","24.5","22.4","16.3","12.2","8.2",".",".",".",".",".",".",".","2.0",".","."
"Electromagnetic Fields","322
001","73","3.090","34.2","5.5","41.1","4.1","4.1","6.8","2.7",".",".",".",".",".",".","1.4",".","."
"Electromagnetic Fields","323
001","28","3.464","53.6","7.1","25.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Optics","325
001","50","3.439","32.0","34.0","22.0","8.0","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"","407
001","13","3.333","15.4","46.2","23.1",".","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"","407
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","407
003","13","3.423","7.7","69.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","27","3.389","11.1","59.3","22.2",".","3.7",".",".",".",".",".",".",".",".","3.7",".","."
"Thermal Physics","415
001","41","3.537","51.2","22.0","12.2","12.2","2.4",".",".",".",".",".",".",".",".",".",".","."
