"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","6494","3.005","29.2","12.4","23.3","9.3","12.8","4.1","1.5","5.7","0.0","1.3","",".","0.1","0.1",".",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","538","2.713","17.8","11.3","25.7","14.9","19.0","8.9","2.4",".",".",".","",".",".",".",".",".","."
"Sophomore","","2232","3.016","26.7","13.8","28.7","11.1","13.6","4.7","1.4",".",".",".","",".",".","0.0",".",".","."
"Junior","","1758","2.973","26.9","13.3","27.0","9.6","17.0","4.3","1.8",".",".",".","",".",".",".",".",".","0.1"
"Senior","","1018","3.044","35.3","14.3","21.4","9.9","12.7","3.7","2.2","0.1",".","0.1","",".","0.1","0.2",".",".","."
"Undergraduates","","5546","2.973","27.5","13.5","26.5","10.8","15.0","4.8","1.7","0.0",".","0.0","",".","0.0","0.1",".",".","0.0"
"Special","","28","3.349","46.4","17.9","17.9","7.1","3.6","7.1",".",".",".",".","",".",".",".",".",".","."
"Graduate","","1123","3.763","46.6","4.5","3.8","0.5",".",".","0.1","35.8","0.1","7.7","",".","0.7","0.2",".",".","."
"","Dept. Total","6697","3.005","30.7","12.0","22.7","9.0","12.5","4.0","1.5","6.0","0.0","1.3","",".","0.1","0.1",".",".","0.0"
