"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","722
001","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
030","51","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","81","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","723
003","18","3.735","61.1","16.7","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Weinert Appl Ventr in Entreshp","738
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","741
001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","40","3.551","37.5","32.5","27.5",".",".",".",".",".",".",".",".",".",".",".",".","2.5"
"","765
002","39","3.500","20.5","59.0","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
008","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
032","35","3.843","68.6","31.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","158","3.727","54.4","32.9","12.0",".",".",".",".",".",".",".",".",".",".",".",".","0.6"
"Seminar-Arts Administration","774
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
074","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Personnel Management","871
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","976
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
133","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","9","",".",".",".",".",".",".",".","55.6",".",".",".","44.4",".",".",".","."
