"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","38","3.121","23.7","23.7","13.2","2.6","5.3","5.3",".",".","",".","23.7",".",".",".",".",".","."
"Junior","","75","2.860","13.3","14.7","16.0","9.3","5.3","5.3","2.7",".","",".","30.7","2.7",".",".",".",".","."
"Senior","","415","3.116","23.6","15.2","29.6","9.6","8.4","1.7",".",".","",".","10.6",".",".","0.7","0.2",".","."
"Undergraduates","","529","3.086","22.1","15.9","26.5","9.1","7.8","2.5","0.4",".","",".","14.4","0.4",".","0.6","0.2",".","."
"Special","","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","58","3.566","32.8","10.3","6.9","1.7","1.7",".",".","6.9","",".",".",".","39.7",".",".",".","."
"","Dept. Total","591","3.118","23.5","15.4","24.4","8.3","7.1","2.2","0.3","0.7","",".","12.9","0.3","3.9","0.5","0.2",".","."
