"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"404","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem German for Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"411
Kultur des 20. u. 21. Jh.","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Intro to Middle High German","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"676
Adv Seminar in German Studies","002","","11","3.800","63.6","18.2","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"699
Directed Study","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"723
Pract-Teachng Undergrad Lit","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Pract-Teach Undergr Culture","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"727
Topics-Applied Linguistics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"758","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"758","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemporary German","Course Total","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"947
Seminar-German Lit & Culture","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Seminar-German Lit & Culture","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-German Linguistics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","4","***","","","","","","","","","","","","","","","",""
"991","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
