"","769
125","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","2","***","","","","","","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy","962
001","8","3.813","62.5","37.5",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".","."
"PHM PRAC
728","Dept. Total","2416","3.693","56.4","15.9","9.5","3.8","2.1","",".","0.2","",".","",".","12.1","",".","",".","0.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","25","3.940","92.0",".",".","4.0",".","",".",".","",".","",".",".","",".","",".","4.0",".",".","."
"Junior","","8","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","9","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","44","3.971","95.5",".",".","2.3",".","",".",".","",".","",".",".","",".","",".","2.3",".",".","."
"Graduate","","26","3.926","84.6","15.4",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","342","3.959","54.7","3.5",".","0.3",".","",".",".","",".","",".","41.5","",".","",".",".",".",".","."
"Prof Yr 2","","955","3.396","40.0","21.4","15.3","4.3","3.6","",".","0.4","",".","",".","15.1","",".","",".",".",".",".","."
"Prof Yr 3","","609","3.549","59.3","19.5","10.3","7.2","2.5","",".","0.2","",".","",".","1.0","",".","",".",".",".",".","."
"Prof Yr 4","","440","3.880","83.6","10.5","4.5","1.1","0.2","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","2346","3.689","55.3","16.2","9.8","3.9","2.1","",".","0.2","",".","",".","12.4","",".","",".",".",".",".","."
"","Dept. Total","2416","3.693","56.4","15.9","9.5","3.8","2.1","",".","0.2","",".","",".","12.1","",".","",".","0.0",".",".","."
