"ENGLISH AS A SECOND LANGUASection","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"118
023","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
024","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"025
118","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
026","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
028","8","3.250","37.5","50.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"118
029","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
030","11","3.409","45.5","45.5",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Course Total
Academic Writing II","320","3.620","57.2","25.6","12.2","2.2","0.6","0.3","1.9",".",".",".",".",".",".",".",".","."
"343
001
Oral Communication Skills","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"344
001
Acad Present. and Discussion","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
002","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
American English Pronunciation","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"349
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"349
002","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Writing for Grads","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL
Dept. Total
351","618","3.620","29.6","13.3","6.3","1.1","0.3","0.2","1.0",".",".","46.9","1.1",".",".",".",".","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"Freshmen","102","3.592","27.5","14.7","2.9","1.0",".",".","2.0",".",".","49.0","2.9",".",".",".",".","."
"Sophomore","240","3.701","33.8","17.1","5.0","1.7",".","0.4",".",".",".","41.3","0.8",".",".",".",".","."
"Junior","121","3.613","39.7","9.1","9.9","0.8","0.8",".","1.7",".",".","36.4","0.8",".",".",".",".","0.8"
"Senior","82","3.456","31.7","18.3","14.6","1.2","1.2",".","2.4",".",".","30.5",".",".",".",".",".","."
"Undergraduates","545","3.620","33.6","15.0","7.2","1.3","0.4","0.2","1.1",".",".","40.0","1.1",".",".",".",".","0.2"
"Special","27","",".",".",".",".",".",".",".",".",".","96.3","3.7",".",".",".",".","."
"Graduate","57","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 4","3","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Professionals","3","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Dept. Total","632","3.620","29.0","13.0","6.2","1.1","0.3","0.2","0.9",".",".","48.1","1.1",".",".",".",".","0.2"
