"","602
003","","4","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics in EP","Course Total","","22","3.909","81.8","18.2",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"HPC for Apps in Engr","759
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"EP Graduate Seminar","920
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"E P
347","Dept. Total","","58","3.396","44.8","22.4","15.5","3.4","5.2","",".","",".","",".","",".","3.4","",".","",".","5.2",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","***","","","","","","","","","","","","","",".","",".","",".","25.0",".",".","."
"Senior","","","46","3.333","39.1","26.1","19.6","4.3","6.5","",".","",".","",".","",".",".","",".","",".","4.3",".",".","."
"Undergraduates","","","50","3.352","42.0","24.0","18.0","4.0","6.0","",".","",".","",".","",".",".","",".","",".","6.0",".",".","."
"Special","","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","7","4.000","71.4",".",".",".",".","",".","",".","",".","",".","28.6","",".","",".",".",".",".","."
"","Dept. Total","","58","3.396","44.8","22.4","15.5","3.4","5.2","",".","",".","",".","",".","3.4","",".","",".","5.2",".",".","."
