"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","429","3.119","25.4","25.9","25.9","9.1","12.4","1.2",".",".","",".",".","",".","",".","0.2",".",".","."
"Junior","1127","3.274","35.8","25.9","18.0","11.4","7.5","0.8","0.3",".","",".","0.4","",".","",".",".",".",".","."
"Senior","816","3.198","22.1","29.8","24.8","15.8","5.0","1.1","0.5","0.5","",".","0.4","",".","",".",".","0.1",".","."
"Undergraduates","2374","3.220","29.3","27.2","21.7","12.5","7.5","1.0","0.3","0.2","",".","0.3","",".","",".","0.0","0.0",".","."
"Special","13","2.962","15.4","30.8","23.1","7.7","15.4","7.7",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","428","3.780","67.5","25.5","5.1","0.5","0.7",".",".",".","",".","0.5","",".","",".",".",".",".","0.2"
"Prof Yr 2","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","8","3.825","75.0","12.5","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
