"","990
118","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
133","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
134","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","36","",".",".",".",".",".",".",".","86.1","",".",".",".","13.9",".",".",".","."
"B M E
207","Dept. Total","1027","3.659","58.1","17.9","11.6","1.9","0.7","0.6","0.1","7.5","",".",".",".","1.2","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","26","3.746","76.9","7.7","11.5",".","3.8",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","207","3.658","62.3","18.4","16.4","2.9",".",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","575","3.637","64.0","19.3","11.8","1.9","1.0","0.9","0.2","0.3","",".",".",".",".","0.5",".",".","."
"Undergraduates","","808","3.646","64.0","18.7","13.0","2.1","0.9","0.6","0.1","0.2","",".",".",".",".","0.4",".",".","."
"Special","","3","***","","","","","","","","","","",".","33.3",".",".",".",".","."
"Graduate","","254","3.710","29.5","13.0","5.5","1.2",".","0.4",".","29.5","",".","15.7",".","4.3","0.4",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".",".","100.0",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".",".","25.0",".",".",".","."
"","Dept. Total","1069","3.659","55.8","17.2","11.1","1.9","0.7","0.6","0.1","7.2","",".","3.7","0.1","1.1","0.4",".",".","."
