"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","101
001","","18","3.528","27.8","50.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","20","3.475","40.0","35.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","17","3.735","70.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","15","3.607","46.7","26.7","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"First Semester French","Course Total","","84","3.560","41.7","34.5","16.7","4.8","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"","102
001","","14","3.000","35.7","7.1","28.6","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"","102
002","","19","3.553","47.4","21.1","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","","19","3.389","36.8","26.3","21.1","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"","102
004","","21","3.667","52.4","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","15","3.200",".","66.7","20.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","","88","3.397","36.4","29.5","22.7","3.4","4.5","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"","001
203","","16","3.433","50.0","18.8","12.5",".","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"","203
002","","6","3.000","50.0","16.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","203
003","","21","3.342","47.6","9.5","19.0","4.8",".","9.5",".","9.5",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","","43","3.325","48.8","14.0","14.0","4.7","2.3","7.0","2.3","7.0",".",".",".",".",".",".",".","."
"","204
001","","14","3.179","28.6","35.7","14.3",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","204
002","","19","3.529","36.8","36.8","5.3","5.3","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"","204
003","","10","3.444","20.0","40.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","","43","3.388","30.2","37.2","14.0","2.3","7.0","2.3",".","7.0",".",".",".",".",".",".",".","."
"","228
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
228","","12","3.208","25.0","41.7","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","228
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","228
011","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
012","","9","3.000","22.2","22.2","44.4",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","228
013","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","50","3.441","38.0","36.0","22.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Ethnic St-Fr/Francophone Wrlds","248
001","","8","3.438","75.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","271
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","8","3.063","50.0","12.5","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","271
003","","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
011","","16","3.781","68.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
012","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","013
271","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","63","3.692","69.8","17.5","3.2","4.8","1.6",".","1.6","1.6",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","","25","3.957","88.0",".","4.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Adv Oral & Written Expression","312
001","","26","3.788","73.1","19.2","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","","27","3.574","40.7","40.7","14.8",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad: Adv French Lang","316
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321
001","","30","3.750","63.3","23.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","322
001","","25","3.680","68.0","24.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347
001","","24","3.739","66.7","8.3","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Modernity Studies","348
001","","19","3.765","63.2","15.8","5.3","5.3",".",".",".","5.3",".",".",".",".","5.3",".",".","."
