"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Intro-Mus Cult of the World","103
001","108","3.500","60.2","13.0","13.0","1.9","5.6","2.8","1.9","0.9",".",".",".",".",".",".",".","0.9"
"The Symphony","106
001","37","3.258","43.2","5.4","13.5","13.5","10.8","2.7",".","10.8",".",".",".",".",".",".",".","."
"","113
001","709","3.955","95.8","1.8","1.4","0.1","0.1","0.6",".",".",".",".",".",".",".",".",".","0.1"
"","002
113","705","3.928","93.8","2.4","2.0","0.6","0.6","0.3","0.3",".",".",".",".",".",".",".",".","0.1"
"","003
113","709","3.936","93.7","3.2","2.0","0.1","0.3","0.3","0.3","0.1",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","2123","3.940","94.4","2.5","1.8","0.3","0.3","0.4","0.2","0.0",".",".",".",".",".",".",".","0.1"
"","122
001","22","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","122
002","25","3.500","28.0","44.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","47","3.457","23.4","44.7","31.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","151
001","36","3.528","63.9","11.1","11.1","5.6","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"","151
002","53","3.632","58.5","20.8","13.2","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","89","3.590","60.7","16.9","12.4","4.5","4.5",".","1.1",".",".",".",".",".",".",".",".","."
"","172
101","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","47","3.479","25.5","46.8","25.5","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Music and Society","001
201","30","3.633","70.0","6.7","20.0",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","437","3.213","8.9","13.0","12.6","5.9","2.7","0.2",".","56.5",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","48","3.523","52.1","8.3","20.8","2.1","4.2","2.1",".","10.4",".",".",".",".",".",".",".","."
"Musica Practica 4","222
001","19","3.611","36.8","42.1","15.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Jazz Theory & Composition","229
001","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Intro. Conducting and Pedagogy","252
001","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","254
022","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
098","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
196","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","39","3.949","97.4",".",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","265
010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
