"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","373
001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gen Ed Pract-Diverse Learners","374
001","15","3.917","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","399
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Education for Sustainable Cmty","405
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Game Design II","432
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching World Lang (K-8)","442
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","463
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sem. in Pre-K Through MS Teach","Course Total","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"EC/ESL Student Teaching","468
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","6","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Stdt Teach-Science in H.S.","490
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","11","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Stdt Teach-Middle Schl Math","497
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","506
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","40","3.938","92.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","110","3.945","91.8","5.5","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Teach Soc Studies","559
001","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Probs-Teaching World Lang","564
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Teaching Science","590
001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Tch Engl Secn Schl","596
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Action Research in Schools","626
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
008","9","4.000","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","44.4","."
