"CHICANA/O & LATINA/O STUDIESSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","",""
"Intro US Ethnic/Am Ind Studies","102
001","17","3.647","70.6",".","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"The U.S. West Since 1850","152
001","17","3.353","17.6","47.1","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","34","3.853","79.4","17.6",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","002
201","38","3.171","31.6","18.4","31.6","10.5","2.6",".","5.3",".",".",".",".",".",".",".",".","."
"Intro to Chicana/o&Latina/o St","Course Total","72","3.493","54.2","18.1","16.7","5.6","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231
001","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Whiteness Racial Frmtn","315
001","25","3.804","68.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".","4.0","4.0","."
"Topics in Chicano/a Studies","330
002","24","3.652","75.0",".","4.2","8.3","8.3",".",".",".",".",".",".",".",".",".","4.2","."
"Race, Ethnicity, and Media","347
001","14","3.250","7.1","50.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Labor in Americas: US & Mexico","355
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","001
443","16","3.033","25.0","25.0","12.5","18.8","6.3",".","6.3",".",".",".",".",".",".",".","6.3","."
"US Latino Literature","467
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin@ Mental Health","525
001","8","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Directed Study","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CHICLA
228","Dept. Total","207","3.500","49.3","20.8","15.9","6.8","2.9",".","1.4",".",".",".",".",".","1.0","0.5","1.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","2.966","21.4","7.1","50.0","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"Sophomore","","77","3.483","45.5","24.7","14.3","7.8","2.6",".","1.3",".",".",".",".",".","2.6",".","1.3","."
"Junior","","50","3.535","48.0","26.0","14.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Senior","","63","3.606","61.9","15.9","12.7","1.6","4.8",".","1.6",".",".",".",".",".",".","1.6",".","."
"Undergraduates","","204","3.498","49.5","21.1","16.2","6.9","2.9",".","1.5",".",".",".",".",".","1.0","0.5","0.5","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Graduate","","2","***","","","","","","","","","",".",".",".",".",".","50.0","."
"","Dept. Total","207","3.500","49.3","20.8","15.9","6.8","2.9",".","1.4",".",".",".",".",".","1.0","0.5","1.4","."
