"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205
001","82","3.309","37.8","24.4","15.9","14.6","2.4","1.2","2.4","1.2",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304
001","24","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"The Romans","322
001","113","3.436","40.7","28.3","14.2","6.2","5.3","0.9","0.9","3.5",".",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","12","2.450",".","25.0","16.7","16.7","8.3","8.3","8.3","16.7",".",".",".",".",".",".",".","."
"Conspiracy in Anc and Mod Wrld","001
340","96","3.200","19.8","37.5","20.8","8.3","3.1",".","4.2","6.3",".",".",".",".",".",".",".","."
"Rome:Changing Shape of City","350
002","14","3.375","35.7","35.7","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Women in the Classical World","351
001","35","3.632","65.7","11.4","5.7","8.6","5.7",".",".","2.9",".",".",".",".",".",".",".","."
"Classical Mythology","001
370","227","3.211","29.5","22.0","20.7","10.1","6.6","2.6","1.3","6.6",".",".",".",".","0.4",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Senior Honors Thesis","682
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","699
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Ancient History","801
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","619","3.307","34.2","25.7","17.1","9.0","4.7","1.6","1.8","5.3",".",".",".",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","2.885","19.2","26.9","19.2","11.5","11.5","7.7","3.8",".",".",".",".",".",".",".",".","."
"Sophomore","","149","3.358","35.6","30.9","17.4","9.4","2.7","2.0","1.3",".",".",".",".",".","0.7",".",".","."
"Junior","","187","3.266","34.2","26.2","20.3","10.7","4.8","1.1","2.7",".",".",".",".",".",".",".",".","."
"Senior","","218","3.344","39.9","23.9","17.0","8.7","6.0","1.4","1.4","0.9",".",".",".",".","0.9",".",".","."
"Undergraduates","","580","3.302","36.0","26.6","18.3","9.7","5.0","1.7","1.9","0.3",".",".",".",".","0.5",".",".","."
"Special","","36","3.800","8.3","5.6",".",".",".",".",".","86.1",".",".",".",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","619","3.307","34.2","25.7","17.1","9.0","4.7","1.6","1.8","5.3",".",".",".",".","0.5",".",".","."
