"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"HEBREW-BIBLICAL","Section","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"441
HEBR-BIB","","","","","","","","","","","","","","","","","","","","","","",""
"Elementary Biblical Hebrew, II","104","001","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Biblical Hebrew, II","324","001","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Adv Near Eastern Languages","700","001","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Aramaic II","702","001","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Class Hebrw Lingstcs:Hist&Desc","723","001","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","021","4","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","990","021","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"HEBR-BIB
441","","Dept. Total","24","3.181","25.0","12.5","12.5","12.5","8.3","",".","",".","8.3","",".",".",".","20.8",".",".",".","."
