"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"LACIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","8","3.763","87.5","",".","",".","12.5","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","15","3.625","80.0","",".","",".","20.0","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".","60.0",".","."
"Graduate","","","7","4.000","57.1","",".","",".",".","",".","",".","",".",".","",".","28.6","",".","",".","",".",".",".","."
"","Dept. Total","","27","3.734","63.0","",".","",".","11.1","",".","",".","",".","3.7","",".","7.4","",".","",".","",".","11.1",".","."
