"990","063
2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","069
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","083
2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total
30","","",".",".","",".",".","",".","",".","",".","96.7","",".",".",".","3.3",".",".",".","."
"M&ENVTOX
362","69
Dept. Total","3.813","","7.2","4.3","",".",".","",".","",".","",".","87.0","",".",".",".","1.4",".",".",".","."
"Summary by Level","#","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","65","3.700","","3.1","4.6","",".",".","",".","",".","",".","90.8","",".",".",".","1.5",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
69","3.813","","7.2","4.3","",".",".","",".","",".","",".","87.0","",".",".",".","1.4",".",".",".","."
