"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"F&W ECOL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","35","3.480","68.6","11.4","8.6","5.7","5.7",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","94","3.332","54.3","16.0","16.0","5.3","5.3","2.1","1.1",".","",".",".","",".",".",".",".",".","."
"Senior","","219","3.361","47.9","21.5","15.5","5.5","3.7","1.8","1.8","0.5","",".",".","",".",".","1.8",".",".","."
"Undergraduates","","352","3.364","51.4","19.3","15.1","5.4","4.3","1.7","1.4","0.3","",".",".","",".",".","1.1",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","131","3.949","47.3","3.8",".",".",".",".",".","20.6","",".",".","",".","28.2",".",".",".","."
"","Dept. Total","487","3.446","50.3","15.0","10.9","3.9","3.1","1.2","1.0","6.2","",".",".","",".","7.6","0.8",".",".","."
