"","990
094","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
095","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
098","3","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","68","",".",".",".",".","",".","",".","",".","61.8","1.5",".","",".","35.3",".",".","1.5","."
"MED PHYS
621","Dept. Total","284","3.697","48.9","12.3","11.6","1.4","",".","",".","",".","15.5","0.4",".","",".","8.5","0.7",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","9","3.850","77.8","11.1","11.1",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","","30","3.818","73.3","10.0","13.3",".","",".","",".","",".",".",".",".","",".",".",".",".","3.3","."
"Undergraduates","","40","3.828","75.0","10.0","12.5",".","",".","",".","",".",".",".",".","",".",".",".",".","2.5","."
"Special","","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","241","3.663","44.0","12.9","11.6","1.7","",".","",".","",".","18.3","0.4",".","",".","10.0","0.8",".","0.4","."
"Prof Yr 1","","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","284","3.697","48.9","12.3","11.6","1.4","",".","",".","",".","15.5","0.4",".","",".","8.5","0.7",".","0.7","."
