"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"MARKETNG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","229","3.186","14.4","35.8","32.8","10.0","5.2","1.7",".",".","",".",".","",".",".",".",".",".","."
"Junior","","494","3.395","35.0","29.1","24.3","6.3","3.6","1.0","0.4","0.2","",".",".","",".",".",".",".",".","."
"Senior","","685","3.498","40.4","32.4","18.5","5.7","1.8","0.4","0.4","0.3","",".",".","",".",".",".",".",".","."
"Undergraduates","","1410","3.411","34.3","31.8","22.8","6.6","3.0","0.9","0.4","0.2","",".",".","",".",".",".",".",".","."
"Special","","50","3.102","30.0","16.0","26.0","8.0","12.0","6.0",".","2.0","",".",".","",".",".",".",".",".","."
"Graduate","","431","3.780","63.8","27.4","5.1","0.2",".",".",".","1.6","",".",".","",".","1.2","0.5",".","0.2","."
"","Dept. Total","1891","3.473","40.9","30.4","18.9","5.2","2.5","0.8","0.3","0.6","",".",".","",".","0.3","0.1",".","0.1","."
