"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","36","3.918","88.9","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","2.8","."
"808
Mass Communication History","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"813
Practicum - Comm Research","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Health Communication","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"823
Sci & Envir Communication","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"826
Journalism Theory","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Graduate Teaching Colloquium","001","","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","6","",".",".",".",".",".",".",".","16.7",".",".",".","66.7","16.7",".",".","."
"990","005","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","","47","",".",".",".",".",".",".",".","78.7",".",".",".","19.1","2.1",".",".","."
