"ALS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Issues in Ag, Envir & Life Sci","155
001","11","3.864","81.8","9.1","9.1",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"WISE Seminar","175
001","44","3.966","93.2","6.8",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Intro CALS Honors Seminar","288
001","15","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"World Hunger & Malnutrition","350
001","17","3.618","52.9","23.5","17.6","5.9","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"CALS Honor Interdis Jr Seminar","388
001","14","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Food Production & Sustainblty","471
001","8","3.625","50.0","37.5",".","12.5","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"INTER-AG
494","Dept. Total","109","3.802","84.4","10.1","3.7","1.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","3.818","72.7","18.2","9.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","51","3.869","92.2","3.9","3.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","23","3.803","82.6","13.0","4.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","20","3.714","80.0","10.0",".","10.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","105","3.806","85.7","8.6","3.8","1.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","109","3.802","84.4","10.1","3.7","1.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
