"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","20","3.725","80.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","203
001","126","3.464","46.0","23.0","19.0","5.6","2.4","3.2",".",".",".",".",".",".",".",".","0.8","."
"","210
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","140","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","84","3.821","78.6","9.5","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","67","3.440","26.9","46.3","22.4","3.0",".",".","1.5",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","102","3.314","35.3","31.4","15.7","5.9","7.8","2.9","1.0",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","55","3.400","38.2","25.5","25.5","7.3","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"","252
001","88","3.385","37.5","28.4","13.6","15.9","2.3",".","1.1",".",".",".",".",".",".",".",".","1.1"
"","252
003","123","3.329","38.2","24.4","16.3","12.2","6.5","2.4",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","211","3.352","37.9","26.1","15.2","13.7","4.7","1.4","0.5",".",".",".",".",".",".",".",".","0.5"
"","270
001","59","3.178","28.8","23.7","25.4","11.9","6.8",".","3.4",".",".",".",".",".",".",".",".","."
"","270
002","37","3.338","32.4","18.9","35.1","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","96","3.240","30.2","21.9","29.2","11.5","5.2",".","2.1",".",".",".",".",".",".",".",".","."
"","271
001","26","3.769","80.8","15.4",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","271
002","37","3.649","62.2","27.0","5.4",".","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","63","3.698","69.8","22.2","3.2",".","1.6",".","3.2",".",".",".",".",".",".",".",".","."
"","303
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","32","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","20","3.474","25.0","45.0","20.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Semiconductr Properties Lab","305
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","29","3.931","96.6",".",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","315
003","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","85","3.959","96.5","1.2","1.2",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"","317
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
002","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Sensors Laboratory","Course Total","46","3.800","63.0","30.4","4.3",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Signals and Systems","330
001","54","3.083","16.7","18.5","40.7","20.4","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","16","3.594","56.3","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","340
002","58","3.086","15.5","22.4","37.9","15.5","6.9","1.7",".",".",".",".",".",".",".",".",".","."
"","340
003","62","3.234","27.4","30.6","22.6","9.7","4.8","4.8",".",".",".",".",".",".",".",".",".","."
