"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","34","",".",".",".",".",".",".",".","79.4",".",".",".","20.6",".",".",".","."
"999","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","","2","***","","","","","","","","","","","","","","","",""
