"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","73","2.979","23.3","20.5","24.7","8.2","11.0","4.1","4.1",".",".",".",".",".","1.4","2.7",".","."
"","100","002","70","2.848","25.7","17.1","14.3","14.3","10.0","7.1","5.7",".",".",".",".",".",".","5.7",".","."
"General Anthropology","","Course Total","143","2.915","24.5","18.9","19.6","11.2","10.5","5.6","4.9",".",".",".",".",".","0.7","4.2",".","."
"Archaeology & Prehist World","102","001","93","2.902","25.8","14.0","25.8","9.7","12.9","7.5","3.2","1.1",".",".",".",".",".",".",".","."
"","104","001","418","3.769","72.5","17.2","5.5","1.9","1.4","0.7","0.2",".",".",".",".",".",".",".","0.5","."
"","104","002","417","3.775","73.4","18.2","3.8","2.2","1.0","0.5","0.7",".",".",".",".",".",".",".","0.2","."
"Cult Anthro&Human Diversity","","Course Total","835","3.772","72.9","17.7","4.7","2.0","1.2","0.6","0.5",".",".",".",".",".",".",".","0.4","."
"Principles - Biological Anthro","105","001","409","3.445","36.9","30.8","18.1","6.8","3.7","1.0",".","1.0",".",".",".",".","0.2",".",".","1.5"
"Principles of Archaeology","212","001","54","3.519","61.1","7.4","20.4","1.9","1.9","5.6",".","1.9",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Culture and Health","265","001","89","3.045","12.4","30.3","32.6","16.9","2.2","4.5","1.1",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","33","3.844","72.7","18.2","6.1",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hominoid Evolution","302","001","34","3.227","26.5","26.5","29.4",".","11.8","2.9",".",".",".",".",".",".",".",".","2.9","."
"Human Skeletal Anatomy","303","001","9","3.333","44.4",".","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","29","3.750","58.6","17.2","13.8",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","001","19","3.700","42.1","26.3","10.5",".",".",".",".",".",".",".",".",".","21.1",".",".","."
"Prehistory of Africa","333","001","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Arch of Warfare & Hum Nature","339","001","25","3.625","48.0","28.0","16.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","9","3.556","44.4","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","16","3.125","43.8","6.3","18.8","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"Evolution of Genus, Homo","411","001","20","3.794","55.0","25.0","5.0",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Language and Culture","430","001","20","3.460","60.0","15.0","10.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","490","001","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","17","3.882","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Anthropology","690","001","8","3.796","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","696","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","091","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","9","3.796","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
