"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","33","3.609","66.7","6.1","12.1","6.1",".","3.0",".",".",".",".",".",".",".","6.1",".","."
"Senior","","119","3.518","64.7","9.2","12.6","3.4","4.2","4.2","0.8","0.8",".",".",".",".",".",".",".","."
"Undergraduates","","154","3.541","65.6","8.4","12.3","3.9","3.2","3.9","0.6","0.6",".",".",".",".",".","1.3",".","."
"Special","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","68","3.808","36.8","7.4","1.5","1.5",".",".",".","4.4",".",".",".","45.6",".","1.5","1.5","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".",".",".",".",".",".","."
