"EGR","","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","",""
"Research Proposal-Engr Physics","469","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471","002","","26","3.173","15.4","34.6","30.8","7.7","11.5",".",".",".",".",".",".",".",".",".",".","."
"Research Pract-Engr Physics II","569","001","","6","3.750","50.0",".","16.7",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","602","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","002","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in EP","","Course Total","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPC for Apps in Engr","759","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EP Graduate Seminar","920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"E P
347","","Dept. Total","","58","3.396","44.8","22.4","15.5","3.4","5.2",".",".",".",".","3.4",".",".","5.2",".",".","."
