"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","111
001","43","3.895","83.7","14.0",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","40","3.938","90.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","44","3.818","75.0","20.5",".","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","111
004","42","3.821","83.3","11.9",".",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","Course Total","169","3.867","82.8","13.6","0.6","1.2","1.2","0.6",".",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","119","3.496","40.3","36.1","11.8","5.0","1.7","1.7","0.8","2.5",".",".",".",".",".",".",".","."
"","201
001","50","3.850","74.0","22.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","49","3.561","36.7","49.0","4.1","10.2",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","Course Total","99","3.707","55.6","35.4","4.0","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","104","3.803","82.7","7.7","3.8","1.0","3.8","1.0",".",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","73","3.637","67.1","12.3","12.3","2.7","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Retailing","257
001","118","3.720","71.2","13.6","7.6","5.1","1.7","0.8",".",".",".",".",".",".",".",".",".","."
"","275
001","76","2.993","11.8","23.7","30.3","19.7","11.8","1.3",".","1.3",".",".",".",".",".",".",".","."
"","275
002","91","3.665","62.6","24.2","4.4","5.5","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","167","3.361","39.5","24.0","16.2","12.0","6.6","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"Independent Study","299
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Analytics","301
001","47","3.489","48.9","25.5","8.5","4.3","4.3","4.3",".","4.3",".",".",".",".",".",".",".","."
"","321
001","44","3.852","81.8","9.1","6.8","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","39","3.782","76.9","12.8","2.6","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"","003
321","43","3.953","90.7","9.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
004","36","3.571","63.9","22.2",".",".","5.6","2.8","2.8","2.8",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","Course Total","162","3.801","79.0","13.0","2.5","1.9","1.9","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"Financial Coaching","355
001","29","3.571","51.7","27.6","3.4","6.9","6.9",".",".","3.4",".",".",".",".",".",".",".","."
"Families & Poverty","465
001","12","3.208","8.3","33.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","477
001","25","2.800","28.0","16.0","16.0","8.0","12.0","20.0",".",".",".",".",".",".",".",".",".","."
"","477
002","37","2.959","21.6","16.2","24.3","13.5","21.6","2.7",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","62","2.895","24.2","16.1","21.0","11.3","17.7","9.7",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cons Strategy & Evl","555
001","72","3.604","48.6","31.9","11.1","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Channel Strategy","561
001","33","3.682","51.5","36.4","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","58","3.719","56.9","32.8","3.4","5.2",".",".",".",".",".",".",".",".",".",".",".","1.7"
"Retail Financial Analysis","564
001","57","3.325","45.6","19.3","14.0","10.5","3.5","7.0",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","567
001","53","3.519","35.8","35.8","26.4",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","21","3.619","71.4","9.5","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","42","3.488","42.9","33.3","9.5","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","657
001","69","3.551","46.4","31.9","8.7","7.2","4.3",".",".",".",".",".",".",".",".",".",".","1.4"
"","657
002","70","3.636","47.1","40.0","5.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","139","3.594","46.8","36.0","7.2","7.2","2.2",".",".",".",".",".",".",".",".",".",".","0.7"
"Household Risk Management","665
001","29","3.534","55.2","27.6","6.9","3.4",".","6.9",".",".",".",".",".",".",".",".",".","."
"","675
001","40","3.350","30.0","37.5","17.5","12.5",".",".","2.5",".",".",".",".",".",".",".",".","."
