"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","10","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","25","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","339","3.464","14.2","5.0","11.2","0.9","1.2","",".","",".","64.3","",".",".","",".","",".","3.2",".",".","."
"Prof Yr 2","125","4.000","1.6",".",".",".",".","",".","",".","72.0","",".",".","",".","",".","26.4",".",".","."
"Prof Yr 3","436","3.347","36.0","8.0","12.2","0.9","2.3","",".","",".","40.6","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","367","4.000","35.4",".",".",".",".","",".","",".","64.6","",".",".","",".","",".",".",".",".","."
"Professionals","1267","3.516","26.6","4.1","7.2","0.6","1.1","",".","",".","57.0","",".",".","",".","",".","3.5",".",".","."
