"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","46","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","44","3.909","88.6","9.1",".",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","002
301","","32","3.844","84.4","6.3","6.3",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","76","3.882","86.8","7.9","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","34","3.235","26.5","20.6","29.4","20.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","303
002","","34","3.029","17.6","17.6","23.5","35.3","5.9",".",".",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","68","3.132","22.1","19.1","26.5","27.9","4.4",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","","33","3.182","39.4","12.1","15.2","18.2","12.1","3.0",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","650
001","","25","3.060","28.0","16.0","28.0","12.0","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"","651
001","","26","3.083","19.2","23.1","19.2","15.4","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"","651
002","","15","3.100","40.0","13.3","20.0","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","Course Total","","41","3.090","26.8","19.5","19.5","12.2","12.2","4.9",".","4.9",".",".",".",".",".",".",".","."
"Loss Models I","652
001","","33","3.015","24.2","15.2","30.3","12.1","15.2",".","3.0",".",".",".",".",".",".",".",".","."
"","653
001","","28","3.179","21.4","46.4","7.1","10.7","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"","653
002","","33","3.364","24.2","45.5","15.2","9.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Loss Models II","Course Total","","61","3.279","23.0","45.9","11.5","9.8","8.2",".","1.6",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","","8","3.750","37.5",".","12.5",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","391","3.253","45.3","18.4","15.3","11.0","6.6","1.3","0.5","1.5",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","","85","3.402","58.8","15.3","12.9","11.8","1.2",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","104","3.482","61.5","17.3","10.6","8.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","169","3.127","30.8","21.9","20.7","10.7","10.7","3.0","1.2","1.2",".",".",".",".",".",".",".","."
"Undergraduates","","","360","3.260","46.4","18.9","15.8","10.6","5.8","1.4","0.6","0.6",".",".",".",".",".",".",".","."
"Special","","","22","3.024","27.3","18.2","9.1","22.7","22.7",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","","9","3.800","44.4",".","11.1",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","Dept. Total","","391","3.253","45.3","18.4","15.3","11.0","6.6","1.3","0.5","1.5",".",".",".",".",".",".",".","."
