"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Analysis Fixed Inc Securities","740
001","20","3.350","35.0","25.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","750
001","24","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","35","3.500","22.9","54.3","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
032","51","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","100","3.738","58.0","28.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
158","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
121","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","999
121","3","***","","","","","","","","","",".",".",".",".",".",".","."
"FINANCE
233","Dept. Total","1672","3.332","34.2","22.8","26.6","9.2","6.1","0.5","0.2","0.4",".",".",".",".",".","0.1","0.1","."
