"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","301
001","132","2.670","15.9","13.6","21.2","12.9","26.5","6.8","3.0",".",".",".",".",".",".",".",".","."
"","301
002","140","2.802","15.0","15.7","35.7","7.9","17.1","2.1","5.7","0.7",".",".",".",".",".",".",".","."
"","301
003","136","2.673","15.4","16.2","19.1","15.4","23.5","5.9","4.4",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","408","2.716","15.4","15.2","25.5","12.0","22.3","4.9","4.4","0.2",".",".",".",".",".",".",".","."
"Acc Intro to Stat Meth","302
001","69","2.833","21.7","15.9","21.7","17.4","14.5","2.9","5.8",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","309
001","51","3.353","49.0","19.6","11.8","3.9","9.8","5.9",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","37","3.446","51.4","8.1","29.7","5.4","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","311
001","66","3.083","36.4","12.1","30.3","1.5","10.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","311
002","76","3.158","32.9","2.6","47.4","2.6","11.8","2.6",".",".",".",".",".",".",".",".",".","."
"","311
003","56","2.563","8.9","8.9","33.9","21.4","10.7","12.5","3.6",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","198","2.965","27.3","7.6","37.9","7.6","11.1","6.1","2.5",".",".",".",".",".",".",".",".","."
"","312
001","60","3.500","30.0","50.0","11.7","5.0",".","1.7",".","1.7",".",".",".",".",".",".",".","."
"","312
002","54","3.387","35.2","24.1","24.1","11.1","3.7",".",".","1.9",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","114","3.446","32.5","37.7","17.5","7.9","1.8","0.9",".","1.8",".",".",".",".",".",".",".","."
"","324
001","133","3.129","33.1","15.0","24.1","10.5","12.0","3.0","1.5",".",".",".",".",".","0.8",".",".","."
"","324
002","132","3.098","30.3","11.4","28.8","15.9","9.8","3.0","0.8",".",".",".",".",".",".",".",".","."
"","324
003","129","3.016","31.0","11.6","27.1","8.5","14.0","3.9","3.1",".",".",".",".",".","0.8",".",".","."
"Intro Applied Stats for Engrs","Course Total","394","3.082","31.5","12.7","26.6","11.7","11.9","3.3","1.8",".",".",".",".",".","0.5",".",".","."
"","327
001","44","3.580","54.5","15.9","22.7","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"","327
002","37","3.714","64.9","16.2","10.8",".",".","2.7",".",".",".",".",".",".",".","5.4",".","."
"","327
003","18","3.472","72.2",".","11.1","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","327
004","40","3.789","70.0","15.0","7.5",".","2.5",".",".",".",".",".",".",".",".","2.5",".","2.5"
"","327
005","37","3.392","51.4","13.5","16.2","10.8","2.7","5.4",".",".",".",".",".",".",".",".",".","."
"","327
006","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
007","57","3.446","57.9","10.5","12.3","3.5","12.3",".","1.8","1.8",".",".",".",".",".",".",".","."
"Learning a Stat Lang","Course Total","241","3.576","61.4","12.9","13.3","3.7","4.6","1.2","0.8","0.4",".",".",".",".",".","1.2",".","0.4"
"Applied Regression Analysis","001
333","70","3.321","51.4","15.7","10.0","14.3","1.4","2.9","4.3",".",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","63","3.452","38.1","33.3","12.7","12.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Intro Nonparametric Stats","351
001","78","3.782","61.5","33.3","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","138","3.127","34.8","19.6","21.0","5.8","11.6","4.3","2.9",".",".",".",".",".",".",".",".","."
"","371
002","139","3.083","28.8","22.3","17.3","10.1","17.3","3.6","0.7",".",".",".",".",".",".",".",".","."
"","371
003","139","3.158","33.8","16.5","23.0","10.8","12.2","2.2","1.4",".",".",".",".",".",".",".",".","."
"","371
004","132","3.282","37.1","18.2","25.0","9.1","6.1","3.8",".","0.8",".",".",".",".",".",".",".","."
"","371
005","95","3.263","31.6","25.3","23.2","10.5","7.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","643","3.176","33.3","20.1","21.8","9.2","11.2","3.1","1.2","0.2",".",".",".",".",".",".",".","."
"","424
001","65","3.385","32.3","35.4","16.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","424
002","64","3.460","42.2","29.7","7.8","14.1","4.7",".",".",".",".",".",".",".",".",".",".","1.6"
"Stat Expermntl Design","Course Total","129","3.422","37.2","32.6","12.4","10.9","6.2",".",".",".",".",".",".",".",".",".",".","0.8"
"","431
001","9","3.389","55.6",".","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","431
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","16","3.500","62.5","6.3","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","58","3.263","20.7","34.5","27.6","10.3","3.4","1.7",".","1.7",".",".",".",".",".",".",".","."
