"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"734
Theory of Probability II","001","","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Abstract Algebra","001","","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Introductory Topology II","001","","18","3.794","61.1","27.8","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"761
Differentiable Manifolds","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Intro to Algebraic Geometry","001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Differential Geometry","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Computability Theory","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"776
Model Theory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Topics in Applied Math","001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Partial Differential Equatn","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"825
Topics in Functional Analysis","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828
Adv Topics - Harmonic Analysis","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Topics in Probability","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Class Field Theory","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"846
Topics in Combinatorics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"848
Topics in Number Theory","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Topics-Geometric Topology","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Adv Topics in Foundations","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"921","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Analysis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"941
Seminar-Algebra","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"951
Seminar in Topology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"96
Preparatory Algebra","001","","13","2.385","38.5",".","23.1",".","7.7",".","30.8",".",".",".",".",".",".",".",".","."
"967
Seminar in Number Theory","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","155","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","156","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","157","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","159","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
