"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2565","3.342","33.3","22.9","22.0","8.6","4.4","0.9","0.5","4.7","0.0",".","",".","2.1","0.4","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.151","37.9","13.8","17.2","20.7","3.4","3.4","3.4",".",".",".","",".",".",".",".",".","."
"Sophomore","","213","3.332","36.6","23.9","17.8","16.0","3.3","0.5","0.9",".",".",".","",".",".","0.9",".",".","."
"Junior","","612","3.164","26.5","25.5","25.5","13.2","7.0","1.1","0.8",".",".",".","",".",".",".",".",".","0.3"
"Senior","","1278","3.379","36.3","25.9","24.7","7.2","4.4","0.9","0.2","0.1",".",".","",".",".","0.1","0.1","0.1","."
"Undergraduates","","2132","3.314","33.5","25.4","24.2","10.0","5.0","1.0","0.5","0.0",".",".","",".",".","0.1","0.0","0.0","0.1"
"Special","","37","3.181","48.6","10.8","18.9","2.7","10.8","2.7","5.4",".",".",".","",".",".",".",".",".","."
"Graduate","","464","3.634","25.9","8.8","9.1","1.5","0.4",".",".","40.5","0.2",".","",".","11.6","1.3",".","0.4","0.2"
"","Dept. Total","2633","3.342","32.4","22.3","21.4","8.4","4.3","0.8","0.5","7.2","0.0",".","",".","2.1","0.3","0.0","0.1","0.1"
