"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","2574","1.261","7.8","0.0","18.3","",".","2.9","0.3","0.0","25.4","0.0",".","",".","",".","0.2",".","0.4","1.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Special","","12","1.737","8.3",".","8.3","",".","8.3","8.3",".","16.7",".",".","",".","",".",".",".","33.3","."
"Graduate","","9","3.917","55.6","11.1",".","",".",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","1068","1.229","8.1",".","27.2","",".","4.0","0.4","0.1","0.1",".",".","",".","",".","0.1",".",".","."
"Prof Yr 2","","531","1.147","6.4",".","12.1","",".","2.8","0.2",".","37.7",".",".","",".","",".","0.2",".","0.2","2.3"
"Prof Yr 3","","822","1.318","6.9",".","10.3","",".","1.5","0.1",".","51.2","0.1",".","",".","",".","0.1",".","0.6","1.6"
"Prof Yr 4","","132","1.587","12.9",".","22.0","",".","3.0",".",".","19.7",".",".","",".","",".","0.8",".",".","."
"Professionals","","2553","1.251","7.6",".","18.4","",".","2.9","0.2","0.0","25.4","0.0",".","",".","",".","0.2",".","0.2","1.0"
"","College Total","2574","1.261","7.8","0.0","18.3","",".","2.9","0.3","0.0","25.4","0.0",".","",".","",".","0.2",".","0.4","1.0"
