"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","14","3.714","64.3","28.6",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191
001","","63","3.913","90.5","3.2","4.8","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","","85","3.412","48.2","18.8","16.5","4.7","9.4","2.4",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315
001","","77","3.812","79.2","11.7","7.8",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320
001","","66","3.402","37.9","31.8","16.7","6.1","4.5","3.0",".",".",".",".",".",".",".",".",".","."
"","321
001","","24","3.479","29.2","41.7","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","20","3.675","75.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","Course Total","","66","3.712","66.7","19.7","10.6","1.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","001
323","","55","2.973","23.6","7.3","36.4","9.1","21.8","1.8",".",".",".",".",".",".",".",".",".","."
"","348
001","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348
002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","Course Total","","47","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","","82","3.982","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350
001","","58","3.983","98.3",".","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","58","3.707","74.1","12.1","3.4","5.2","3.4","1.7",".",".",".",".",".",".",".",".",".","."
"","412
002","","20","3.875","85.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","Course Total","","78","3.750","76.9","11.5","2.6","5.1","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415
001","","66","3.568","39.4","37.9","19.7","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417
001","","64","3.844","78.1","14.1","6.3","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","450
001","","81","3.858","79.0","13.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","512
001","","58","3.647","62.1","13.8","17.2","5.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"","512
002","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","Course Total","","67","3.619","56.7","17.9","19.4","4.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","516
001","","21","3.550","52.4","14.3","19.0","4.8","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","002
516","","12","3.773","66.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Intro to Decision Analysis","Course Total","","33","3.629","57.6","12.1","18.2","3.0","3.0",".",".",".",".",".",".",".","3.0","3.0",".","."
"Decision Making in Health Care","517
001","","27","3.796","70.4","18.5","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wearable Technology","518
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Assurance Systems","520
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","","24","3.542","41.7","29.2","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","","10","3.500","60.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Hum Factors Engr Dsgn&Eval","552
001","","29","3.741","55.2","31.0","3.4","3.4",".",".",".",".",".",".",".",".","6.9",".",".","."
"","555
001","","30","3.817","63.3","36.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","Course Total","","31","3.823","64.5","35.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564
001","","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","Course Total","","33","3.924","87.9","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
