"","999
147","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
173","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
183","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"DMA Recital","Course Total","54","3.958","81.5","7.4",".",".",".","",".",".","",".","",".",".","",".","",".","9.3","1.9",".","."
"MUS PERF
664","Dept. Total","465","3.918","86.5","7.1","2.2","0.4","0.4","",".","0.4","",".","",".",".","",".","",".","2.2","0.2","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.820","78.6","7.1","7.1","7.1",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","80","3.849","88.8","5.0","3.8",".","1.3","",".","1.3","",".","",".",".","",".","",".",".",".",".","."
"Junior","","83","3.896","89.2","7.2","2.4",".",".","",".","1.2","",".","",".",".","",".","",".",".",".",".","."
"Senior","","128","3.918","85.2","7.8","3.1","0.8","0.8","",".",".","",".","",".",".","",".","",".",".",".","2.3","."
"Undergraduates","","305","3.889","86.9","6.9","3.3","0.7","0.7","",".","0.7","",".","",".",".","",".","",".",".",".","1.0","."
"Special","","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","155","3.962","85.8","7.1",".",".",".","",".",".","",".","",".",".","",".","",".","6.5","0.6",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","465","3.918","86.5","7.1","2.2","0.4","0.4","",".","0.4","",".","",".",".","",".","",".","2.2","0.2","0.6","."
