"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"L&S Career Development","210
002","149","3.886","89.9","3.4","3.4","0.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Communicating About Careers","215
001","39","3.782","87.2","5.1",".","2.6","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","250
001","12","3.933","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","13","3.862","84.6","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
250","12","3.810","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","17","3.949","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","17","3.892","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","16","3.885","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","15","3.721","73.3","6.7","6.7",".",".","6.7",".",".",".",".",".",".","6.7",".",".","."
"","250
008","13","3.700","92.3",".",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","009
250","16","3.959","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","131","3.862","84.0","10.7","1.5","1.5",".","1.5",".",".",".",".",".",".","0.8",".",".","."
"","260
001","11","3.700","72.7",".","9.1",".","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"","260
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","18","3.794","77.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"INTER-LS
502","Dept. Total","337","3.850","86.6","6.5","2.4","1.2","1.8","0.6","0.3",".",".",".",".",".","0.3","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","48","3.728","79.2","12.5","2.1","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Sophomore","","127","3.876","85.0","8.7","2.4","0.8","1.6","0.8",".",".",".",".",".",".","0.8",".",".","."
"Junior","","104","3.842","90.4","2.9","2.9","1.0","1.9",".","1.0",".",".",".",".",".",".",".",".","."
"Senior","","56","3.912","89.3","3.6","1.8","1.8","1.8",".",".",".",".",".",".",".",".","1.8",".","."
"Undergraduates","","335","3.850","86.6","6.6","2.4","1.2","1.8","0.6","0.3",".",".",".",".",".","0.3","0.3",".","."
"Special","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","337","3.850","86.6","6.5","2.4","1.2","1.8","0.6","0.3",".",".",".",".",".","0.3","0.3",".","."
