"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","19","3.921","89.5","5.3","5.3",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","16","3.891","87.5","6.3","6.3",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","37","3.912","89.2","5.4","5.4",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","22","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","376","3.376","32.4","23.9","32.4","5.1","6.1",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","193","3.125","22.8","18.7","30.6","12.4","13.0","1.0","",".","0.5","",".",".","",".","",".","1.0",".",".","."
"Prof Yr 4","16","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","585","3.292","28.4","21.5","30.9","7.4","8.2","0.3","",".","2.9","",".",".","",".","",".","0.3",".",".","."
