"EGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","170
001","121","3.905","81.8","17.4","0.8",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"","170
002","83","3.837","80.7","13.3","1.2","2.4","2.4","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Design Practicum","Course Total","204","3.877","81.4","15.7","1.0","1.0","1.0","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","601
001","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","601
002","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics-Interdis Engineering","Course Total","8","3.875","50.0","25.0",".",".",".","",".","",".","",".","",".",".","",".","",".","25.0",".",".","."
"INTEREGR
496","Dept. Total","212","3.877","80.2","16.0","0.9","0.9","0.9","",".","",".","",".","",".",".","",".","",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.757","82.4","11.8",".",".","5.9","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","253","3.876","86.6","10.3","0.8","0.8","0.4","",".","",".","",".","",".",".","",".","",".",".","1.2",".","."
"Junior","","160","3.921","95.6","3.8",".",".",".","",".","",".","",".","",".",".","",".","",".",".","0.6",".","."
"Senior","","11","#Num!","81.8",".",".",".",".","",".","",".","",".","",".",".","",".","",".","9.1","9.1",".","."
"Undergraduates","","441","3.877","89.6","7.7","0.5","0.5","0.5","",".","",".","",".","",".",".","",".","",".","0.2","1.1",".","."
"Special","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","","","","","",".","",".","",".","33.3",".",".","."
"","Dept. Total","445","3.877","89.4","7.6","0.4","0.4","0.4","",".","",".","",".","",".",".","",".","",".","0.4","1.1",".","."
