"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","4254","3.635","54.6","17.5","11.3","3.9","2.7","0.1","0.3","1.4","",".","8.1","",".","0.1","0.0",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.260","53.8","11.5","7.7","7.7","15.4",".","3.8",".","",".",".","",".",".",".",".",".","."
"Sophomore","","90","3.442","60.0","6.7","22.2","4.4","2.2","1.1","2.2",".","",".",".","",".",".","1.1",".",".","."
"Junior","","85","3.482","65.9","4.7","10.6","7.1","7.1","1.2","2.4","1.2","",".",".","",".",".",".",".",".","."
"Senior","","161","3.680","77.0","9.3","5.6","2.5","3.1","1.2","1.2",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","362","3.547","68.5","7.7","11.0","4.4","4.7","1.1","1.9","0.3","",".",".","",".",".","0.3",".",".","."
"Special","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","202","3.885","38.6","2.5","2.0",".",".",".",".","29.2","",".","25.7","",".","2.0",".",".",".","."
"Prof Yr 1","","880","3.520","48.0","15.9","12.4","4.3","3.1","0.2",".",".","",".","16.1","",".",".",".",".",".","."
"Prof Yr 2","","1400","3.445","41.7","22.9","16.4","4.6","3.8",".","0.3",".","",".","10.3","",".",".",".",".",".","."
"Prof Yr 3","","967","3.662","64.1","21.1","8.0","4.6","1.6",".","0.1",".","",".","0.6","",".",".",".",".",".","."
"Prof Yr 4","","441","3.880","83.7","10.4","4.5","1.1","0.2",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","3688","3.638","54.1","19.3","11.8","4.1","2.6","0.1","0.1",".","",".","7.9","",".",".",".",".",".","."
"","College Total","4254","3.635","54.6","17.5","11.3","3.9","2.7","0.1","0.3","1.4","",".","8.1","",".","0.1","0.0",".",".","."
