"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"NTP","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Senior","26","3.802","84.6","3.8","7.7","3.8",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","27","3.816","85.2","3.7","7.4","3.7",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","3","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","106","3.697","25.5","0.9","0.9",".","1.9","",".","",".","67.9","",".",".","",".","0.9","",".",".","1.9","."
"Prof Yr 2","7","4.000","42.9",".",".",".",".","",".","",".","57.1","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","12","4.000","41.7",".",".",".",".","",".","",".","58.3","",".",".","",".",".","",".",".",".","."
