"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Media & Human Behavior","325","001","76","2.919","9.2","21.1","38.2","13.2","11.8","2.6","1.3",".",".",".",".",".",".","2.6",".","."
"Online Comm & Personal Rltnshp","345","001","53","3.000","13.2","35.8","18.9","13.2","15.1","1.9","1.9",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","91","2.929","5.5","37.4","30.8","14.3","5.5","1.1","5.5",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","63","3.361","22.2","47.6","15.9","6.3","3.2",".","1.6","3.2",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","162","3.099","16.0","20.4","31.5","12.3","8.6","1.2",".","9.3","0.6",".",".",".",".",".",".","."
"Television Industries","351","001","83","2.735","6.0","24.1","25.3","22.9","10.8","3.6","4.8","1.2",".",".",".",".",".","1.2",".","."
"Intro to Media Production","355","001","130","3.329","13.8","51.5","26.2","4.6","2.3",".","0.8",".",".",".",".",".","0.8",".",".","."
"History of Animated Film","357","001","56","3.000","8.9","28.6","39.3","3.6","16.1",".","1.8","1.8",".",".",".",".",".",".",".","."
"Sports Media","359","001","45","3.144","15.6","46.7","17.8","13.3",".","2.2","4.4",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","88","3.256","34.1","28.4","14.8","11.4","8.0","1.1","2.3",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","97","3.063","28.9","18.6","18.6","12.4","16.5","3.1","1.0",".",".",".",".",".",".",".","1.0","."
"Great Speakers and Speeches","370","001","98","3.479","32.7","44.9","17.3","1.0","1.0",".","2.0",".",".",".",".",".",".","1.0",".","."
"","371","002","37","3.365","59.5","8.1","5.4","10.8","10.8","5.4",".",".",".",".",".",".",".",".",".","."
"","371","003","20","3.325","15.0","55.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","371","004","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","","Course Total","77","3.422","44.2","27.3","11.7","7.8","6.5","2.6",".",".",".",".",".",".",".",".",".","."
"Intercultural Rhetoric","373","001","40","3.738","72.5","17.5","2.5","5.0",".","2.5",".",".",".",".",".",".",".",".",".","."
"Ethics of Entertainment Media","375","001","23","3.087","4.3","56.5","26.1","4.3",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","25","2.909","4.0","28.0","24.0","20.0","8.0","4.0",".",".",".",".",".",".","12.0",".",".","."
"Critical Film Analysis","454","001","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460","001","58","3.819","65.5","32.8","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","17","3.433","29.4","23.5","29.4","5.9",".",".",".",".",".",".",".",".","11.8",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","33","3.500","27.3","42.4","21.2","3.0",".",".",".",".",".",".",".",".","6.1",".",".","."
"","466","002","16","3.656","31.3","68.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","466","003","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","","Course Total","32","3.750","53.1","43.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","39","3.486","33.3","30.8","17.9","5.1","2.6",".",".","5.1",".",".",".",".","5.1",".",".","."
"Rhetoric & Power on Internet","478","001","55","3.782","70.9","18.2","9.1",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Digital Media & Political Comm","509","001","35","3.057","37.1","11.4","22.9","11.4","8.6","2.9","5.7",".",".",".",".",".",".",".",".","."
"Digital Game Cultures","547","001","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rhetorical Theory","570","001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Dynamics of Online Relatnshps","577","001","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","605","001","105","",".",".",".",".",".",".",".",".",".","99.0","1.0",".",".",".",".","."
"","605","002","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"Digital Studies Capstone","","Course Total","114","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"Special Topics in Production","609","001","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Film","613","001","18","3.265","16.7","27.8","38.9","11.1",".",".",".",".",".",".",".",".","5.6",".",".","."
"Field Exper in Communicatn","614","001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Secnd Fld Exp-Communication","615","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
