"Politics&Policy in Global Econ","602
001","6","3.417","16.7","50.0","33.3",".",".",".",".",".","",".","",".",".",".","",".",".",".","."
"","692
001","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","692
002","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Senior Thesis","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"INTL ST
504","Dept. Total","261","3.398","32.2","20.7","14.9","4.2","3.1","0.8","0.8","",".","",".","22.6","0.4","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.500","19.2","34.6","11.5","3.8",".",".",".","",".","",".","30.8",".","",".",".",".",".","."
"Sophomore","","80","3.357","27.5","21.3","17.5","6.3","1.3","1.3","1.3","",".","",".","22.5","1.3","",".",".",".",".","."
"Junior","","69","3.274","21.7","23.2","15.9","5.8","7.2",".",".","",".","",".","26.1",".","",".",".",".",".","."
"Senior","","76","3.500","52.6","15.8","14.5","1.3","2.6","1.3","1.3","",".","",".","9.2",".","",".","1.3",".",".","."
"Undergraduates","","251","3.392","32.7","21.5","15.5","4.4","3.2","0.8","0.8","",".","",".","20.3","0.4","",".","0.4",".",".","."
"Special","","10","4.000","20.0",".",".",".",".",".",".","",".","",".","80.0",".","",".",".",".",".","."
"","Dept. Total","261","3.398","32.2","20.7","14.9","4.2","3.1","0.8","0.8","",".","",".","22.6","0.4","",".","0.4",".",".","."
