"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","7","3.667","57.1","28.6",".","14.3",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","10","3.300","40.0","40.0","10.0",".",".","",".","10.0",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","18","3.486","50.0","33.3","5.6","5.6",".","",".","5.6",".","",".",".","",".",".","",".",".",".","."
"Graduate","40","4.000","70.0",".",".",".",".","",".",".","27.5","",".",".","",".","2.5","",".",".",".","."
"Prof Yr 1","134","3.786","64.9","27.6","7.5",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","146","3.567","42.5","35.6","16.4","4.8","0.7","",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","284","3.841","71.5","25.4","3.2",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","565","3.761","62.5","28.5","7.6","1.2","0.2","",".",".",".","",".",".","",".",".","",".",".",".","."
