"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","","17","3.367","47.1","17.6","17.6","5.9","5.9","5.9","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","","12","3.648","66.7","8.3","16.7",".","8.3",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","","14","3.300","42.9","21.4","7.1",".","21.4",".","",".",".","",".",".","",".",".","7.1",".",".","."
"Undergraduates","","","45","3.421","48.9","17.8","15.6","2.2","11.1","2.2","",".",".","",".",".","",".",".","2.2",".",".","."
"Special","","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","","17","3.813","47.1","29.4",".",".",".",".","",".","11.8","",".",".","",".","11.8",".",".",".","."
"","Dept. Total","","63","3.470","47.6","20.6","11.1","1.6","9.5","1.6","",".","3.2","",".",".","",".","3.2","1.6",".",".","."
