"ENVIR ST - GAYLORD NELSON INSection","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","146","3.761","77.4","9.6","2.1","2.1","2.7","0.7","1.4","0.7",".",".",".",".",".",".","3.4","."
"Environmental Geology","106","001","41","3.488","53.7","14.6","14.6","9.8","7.3",".",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","185","3.715","58.9","31.4","4.3","3.8","0.5","0.5",".","0.5",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","77","3.260","27.3","27.3","23.4","16.9","3.9","1.3",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","47","3.394","40.4","12.8","36.2","6.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro People-Environment Geog","139","001","54","3.519","25.9","51.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and the Environment","153","001","91","3.817","71.4","19.8","6.6","1.1",".",".",".","1.1",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","19","3.342","26.3","26.3","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","52","3.423","28.8","32.7","32.7","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","13","2.462","15.4","15.4","23.1","15.4","7.7","7.7","15.4",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","47","3.141","12.8","36.2","27.7","12.8","6.4","2.1",".",".",".",".",".",".",".",".","2.1","."
"Introductory Ecology","260","001","30","3.250","36.7","13.3","20.0","23.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","21","3.875","85.7",".","4.8","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"Chall & Solu in Bus Sustain","310","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","39","3.300","17.9","30.8","28.2","12.8",".",".",".","10.3",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","64","3.087","20.3","21.9","35.9","10.9","4.7","1.6","3.1",".",".",".",".",".","1.6",".",".","."
"Environmental Economics","343","001","11","3.176","18.2","27.3","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"Native North Amer Nat Res Mgmt","345","001","20","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","28","3.589","42.9","39.3","14.3",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","12","2.958","16.7","25.0","25.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","12","2.792","33.3","8.3","25.0",".","16.7","8.3","8.3",".",".",".",".",".",".",".",".","."
"","400","001","26","3.019","26.9","23.1","19.2","11.5","11.5","3.8","3.8",".",".",".",".",".",".",".",".","."
"","400","002","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","36","3.153","27.8","30.6","16.7","11.1","8.3","2.8","2.8",".",".",".",".",".",".",".",".","."
"","401","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","11","3.182","27.3","18.2","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","","Course Total","22","3.364","59.1","9.1","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","402","001","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","22","3.750","77.3","9.1","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","402","003","17","3.719","64.7","11.8","11.8","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","402","004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","92","3.867","85.9","6.5","3.3","2.2","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"Education for Sustainable Cmty","405","001","18","3.588","55.6","11.1","22.2",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Energy Resources","411","001","88","3.574","61.4","19.3","9.1","2.3","3.4","4.5",".",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","10","3.100",".","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","17","2.912","11.8","23.5","35.3","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".","."
