"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","37","3.892","83.8","10.8","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","20","3.250","20.0","45.0","15.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","170
003","19","3.342","21.1","52.6","5.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","170
004","15","3.200","13.3","40.0","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","54","3.269","18.5","46.3","14.8","14.8","3.7","1.9",".",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng","201
001","99","3.551","64.6","14.1","8.1","5.1","3.0","4.0","1.0",".",".",".",".",".",".",".",".","."
"Geometric Modeling","231
001","131","3.023","14.5","22.1","25.2","31.3","3.1",".","1.5",".",".",".",".",".","1.5",".",".","0.8"
"Dynamics","240
001","129","3.371","34.9","24.8","27.9","5.4","5.4",".","0.8",".",".",".",".",".",".",".",".","0.8"
"Undergrad Mech Engr Project","291
050","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
306","93","3.000","24.7","15.1","25.8","15.1","16.1","1.1","2.2",".",".",".",".",".",".",".",".","."
"","306
003","106","2.948","13.2","13.2","42.5","16.0","11.3","2.8",".",".",".",".",".",".","0.9",".",".","."
"Mechanics of Materials","Course Total","199","2.972","18.6","14.1","34.7","15.6","13.6","2.0","1.0",".",".",".",".",".","0.5",".",".","."
"","307
001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","13","3.269","15.4","46.2","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","13","3.346","15.4","46.2","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","8","3.250","37.5","25.0","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","307
010","13","3.538","46.2","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","8","3.063","12.5","12.5","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
014","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","141","3.528","42.6","31.9","16.3","8.5",".","0.7",".",".",".",".",".",".",".",".",".","."
"","313
001","66","3.523","27.3","54.5","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","58","3.431","25.9","44.8","22.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","124","3.480","26.6","50.0","17.7","4.0","1.6",".",".",".",".",".",".",".",".",".",".","."
"","314
001","53","3.236","20.8","22.6","41.5","13.2","1.9",".",".",".",".",".",".",".",".",".",".","."
"","314
002","49","3.184","16.3","28.6","42.9","8.2","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","102","3.211","18.6","25.5","42.2","10.8","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"Computer-Aided Engineering","331
001","33","3.455","24.2","45.5","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamic Systems","340
001","84","3.214","28.6","20.2","28.6","13.1","8.3","1.2",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","108","3.046","11.1","37.0","25.9","14.8","5.6","4.6","0.9",".",".",".",".",".",".",".",".","."
"","349
001","24","3.688","66.7","20.8","8.3",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","349
002","16","3.438","6.3","75.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
