"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","17","3.647","64.7","23.5","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","100
002","16","3.531","50.0","31.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
003","16","3.656","62.5","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","008
100","16","3.656","75.0","6.3",".","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
009","17","3.676","58.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","14","3.321","35.7","21.4","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","011
100","16","3.719","81.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
012","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","16","3.469","50.0","25.0","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","014
100","16","3.594","68.8","6.3","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","219","3.678","67.1","16.0","10.0","3.7","0.9","2.3",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","18","3.176","22.2","16.7","44.4","5.6",".","5.6",".",".",".",".",".",".","5.6",".",".","."
"","212
001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
212","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","37","3.865","78.4","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","26","3.538","50.0","23.1","11.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","28","3.679","60.7","25.0","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","Course Total","54","3.611","55.6","24.1","9.3","9.3","1.9",".",".",".",".",".",".",".",".",".",".","."
"Science, Media and Society","251
001","117","3.185","29.1","30.8","17.1","6.0","10.3","5.1","0.9",".",".",".",".",".","0.9",".",".","."
"Comm in Life Sci Industries","270
001","25","3.740","72.0","12.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","13","3.500","61.5","15.4","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","26","3.654","50.0","30.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Media for Life Sciences","432
001","38","3.419","28.9","42.1","15.8","2.6","7.9",".",".",".",".",".",".",".","2.6",".",".","."
"Integrated Marktng Communicatn","435
001","11","3.636","72.7","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","22","3.690","63.6","13.6","9.1","9.1",".",".",".",".",".",".",".",".","4.5",".",".","."
"Ag Marketing NAMA","477
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Marketing of Sciences","515
001","24","3.521","66.7","8.3","12.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Scientific Writing","560
001","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis-Comm Research","660
001","11","3.409","72.7",".","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Special Problems","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloq in Life Sci Communicatn","700
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sci & Envir Communication","823
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Journalism Theory","826
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
