"ENGLISH AS A SECOND LANGUASection","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"110
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"110
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Intensv English as 2nd Lang","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
007","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"Course Total
Acad Reading and Vocab Skills","34","",".",".",".",".",".",".",".",".",".","97.1","2.9",".",".",".",".","."
"117
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
002","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
004","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"117
005","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
007","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"117
008","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
009","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
010","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"117
012","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
013","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
014","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
015","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"117
017","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"117
019","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".",".","7.7"
"Course Total
Academic Writing I","195","",".",".",".",".",".",".",".",".",".","96.4","3.1",".",".",".",".","0.5"
"001
118","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"002
118","12","3.583","58.3","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"118
003","8","3.125","25.0","50.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"118
004","10","3.100","30.0","20.0","40.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"118
005","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
006","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
007","11","2.773","27.3","18.2","9.1","27.3",".","9.1","9.1",".",".",".",".",".",".",".",".","."
"118
008","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
009","11","3.227","45.5","27.3","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"118
010","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"118
012","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
013","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
014","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"015
118","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
016","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
017","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
018","10","3.350","40.0","10.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"118
019","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"118
020","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
021","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
022","13","3.385","38.5","15.4","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
