"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","113","3.794","71.7","15.0","6.2","1.8","1.8",".",".","3.5",".",".",".",".",".",".",".","."
"103","002","","145","3.736","73.1","10.3","11.0","1.4",".","0.7","1.4","2.1",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","258","3.761","72.5","12.4","8.9","1.6","0.8","0.4","0.8","2.7",".",".",".",".",".",".",".","."
"104
Exploration of Solar System","001","","74","2.972","25.7","20.3","24.3","9.5","6.8","5.4","5.4","1.4",".",".",".",".","1.4",".",".","."
"140
The Exoplanet Revolution","001","","49","3.245","38.8","12.2","22.4","10.2","10.2",".","2.0","2.0",".",".",".",".",".","2.0",".","."
"160
Life in the Universe","001","","113","2.816","18.6","14.2","15.0","12.4","18.6","7.1","0.9","12.4",".",".",".",".",".","0.9",".","."
"200
The Physical Universe","001","","32","3.297","25.0","25.0","37.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"320
The Interstellar Medium","001","","39","2.974","15.4","23.1","38.5","2.6","15.4","2.6","2.6",".",".",".",".",".",".",".",".","."
"550
Astrodynamics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.967","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Basic Astrophysics II","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Stellar Interiors&Evolution","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","14","3.500","21.4","57.1","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","24","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
