"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"Topic in American Lit","457","001","","23","3.341","52.2","17.4","4.3","4.3","8.7","8.7",".","4.3",".",".",".",".",".",".",".","."
"Three American Novelists","459","001","","29","3.448","51.7","17.2","17.2","10.3",".",".","3.4",".",".",".",".",".",".",".",".","."
"","461","001","","24","3.604","50.0","37.5",".","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","461","002","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","","Course Total","","47","3.798","74.5","19.1",".","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","464","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","15","3.767","86.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"English Syntax","514","001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","515","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Animal Studies","532","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Discourses Disability to 1800","543","001","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Theory","559","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"TESOL: Teaching of Reading","616","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL: Teaching of Writing","617","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL: Teaching Pronunciation","618","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Honors Project","680","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","001","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","695","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","034","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","114","","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Creative Writing","","Course Total","","50","3.918","88.0","4.0","6.0",".",".",".",".",".",".",".",".",".",".","2.0",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Rsch Meths-Compositn Study","703","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Compositn Thry","706","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Eng Phonology","709","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topc-Contmp English Linguis","713","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Second Lang Acquisition","715","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Fiction Workshop","781","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
