"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction Systems","290","001","","13","3.269","7.7","53.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","53","3.330","26.4","35.8","20.8","11.3","5.7",".",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","55","3.250","27.3","10.9","45.5","12.7","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"Hydroscience","311","001","","58","2.879","10.3","20.7","24.1","31.0","10.3","3.4",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","002","","77","3.558","57.1","10.4","27.3",".","3.9","1.3",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","002","","61","3.074","16.4","11.5","54.1","9.8","6.6","1.6",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","53","3.896","83.0","13.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","52","3.279","19.2","28.8","42.3","7.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","16","3.594","56.3","6.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","52","3.183","21.2","21.2","38.5","11.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Hydraulics","412","001","","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Water Resources Systems Analys","416","001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","002","","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","47","3.894","85.1","8.5","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","16","3.500","18.8","62.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","31","2.887","16.1","16.1","35.5","12.9","12.9","3.2","3.2",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","39","3.705","53.8","33.3","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","50","3.570","60.0","8.0","22.0","6.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","52","3.490","40.4","28.8","25.0",".","5.8",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","522","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","","21","3.975","90.5","4.8",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","522","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hazardous Waste Management","","Course Total","","42","3.939","85.7","11.9",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","19","3.211","10.5","42.1","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","56","3.866","78.6","16.1","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579","001","","37","4.000","97.3",".",".",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","579","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","","Course Total","","43","4.000","97.7",".",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Envir Engr","629","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","","Page 118 of 423",""
