"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","191","3.076","25.7","25.1","19.4","14.1","10.5","2.6","2.6",".",".",".",".",".",".",".",".","."
"","306
002","34","3.529","38.2","38.2","14.7","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","225","3.144","27.6","27.1","18.7","13.3","8.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"","312
001","39","3.382","28.2","30.8","28.2","7.7","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"","312
002","22","3.190","22.7","27.3","22.7","9.1","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","61","3.314","26.2","29.5","26.2","8.2","6.6",".",".","1.6",".",".",".",".","1.6",".",".","."
"","002
365","46","3.370","37.0","26.1","28.3",".","6.5",".","2.2",".",".",".",".",".",".",".",".","."
"","365
003","14","3.875","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
005","53","3.434","35.8","34.0","22.6","3.8","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","118","3.557","44.1","26.3","22.9","1.7","3.4",".","1.7",".",".",".",".",".",".",".",".","."
"","410
001","28","3.054","28.6","17.9","25.0","14.3","7.1","3.6","3.6",".",".",".",".",".",".",".",".","."
"","410
002","25","3.200","28.0","24.0","24.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","53","3.123","28.3","20.8","24.5","11.3","11.3","1.9","1.9",".",".",".",".",".",".",".",".","."
"","415
001","41","3.341","31.7","19.5","41.5",".","7.3",".",".",".",".",".",".",".",".",".",".","."
"","415
002","34","3.324","23.5","32.4","35.3","2.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","75","3.333","28.0","25.3","38.7","1.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","420
001","36","3.417","38.9","30.6","22.2","2.8",".","5.6",".",".",".",".",".",".",".",".",".","."
"","420
002","22","3.591","50.0","27.3","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","420
003","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","77","3.539","48.1","26.0","20.8","1.3","1.3","2.6",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","001
611","54","3.917","87.0","9.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","39","3.410","33.3","30.8","33.3",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Law","712
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","760
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","34","3.883","76.5","14.7","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Real Estate Finance","770
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
